ProjectName,AWT_Final_Health_Status,FLOW_Final_Health_Status,Delay_Final_Health_Status,Comments
Uranus,Critical,Critical,Degraded,"AWT: AWT (Critical): AWT utilization is at or near maximum capacity. Tasks are heavily queued, leading to significant system performance degradation. Immediate action is required to identify and resolve bottlenecks. | FLOW: FLOW (Critical): Flow control is persistently active, suggesting severe resource bottlenecks or network saturation. System throughput is significantly hindered, and query execution times are likely to be highly impacted. Immediate investigation is required. | DELAY: DELAY (Degraded): Moderate DelayTime observed, suggesting intermittent wait times due to resource contention or workload imbalance. Some impact on query performance may be noticeable."
Pluto,Degraded,Degraded,Average,"AWT: AWT (Degraded): AWT utilization is elevated, approaching capacity limits on some AMPs. There may be signs of queuing or delays in task processing, potentially impacting query response times. | FLOW: FLOW (Degraded): Flow control is intermittently active, indicating increasing resource contention or network congestion. Some delays in data processing and inter-node communication may be observed. | DELAY: DELAY (Average): DelayTime is within normal limits, indicating AMP-level task execution is proceeding without significant waiting."
Jupiter,Average,Critical,Critical,"AWT: AWT (Average): AWT utilization is within optimal operating range. System resources are being efficiently managed, and there is no significant contention. Query performance remains stable. | FLOW: FLOW (Critical): Flow control is persistently active, suggesting severe resource bottlenecks or network saturation. System throughput is significantly hindered, and query execution times are likely to be highly impacted. Immediate investigation is required. | DELAY: DELAY (Critical): High DelayTime indicates severe queuing at the AMP level, likely due to AWT exhaustion, data skew, or system overload. Query performance is heavily impacted. Immediate analysis is recommended."
Earth,Degraded,Critical,Critical,"AWT: AWT (Degraded): AWT utilization is elevated, approaching capacity limits on some AMPs. There may be signs of queuing or delays in task processing, potentially impacting query response times. | FLOW: FLOW (Critical): Flow control is persistently active, suggesting severe resource bottlenecks or network saturation. System throughput is significantly hindered, and query execution times are likely to be highly impacted. Immediate investigation is required. | DELAY: DELAY (Critical): High DelayTime indicates severe queuing at the AMP level, likely due to AWT exhaustion, data skew, or system overload. Query performance is heavily impacted. Immediate analysis is recommended."
Mars,Degraded,Critical,Average,"AWT: AWT (Degraded): AWT utilization is elevated, approaching capacity limits on some AMPs. There may be signs of queuing or delays in task processing, potentially impacting query response times. | FLOW: FLOW (Critical): Flow control is persistently active, suggesting severe resource bottlenecks or network saturation. System throughput is significantly hindered, and query execution times are likely to be highly impacted. Immediate investigation is required. | DELAY: DELAY (Average): DelayTime is within normal limits, indicating AMP-level task execution is proceeding without significant waiting."
Moon,Critical,Critical,Critical,"AWT: AWT (Critical): AWT utilization is at or near maximum capacity. Tasks are heavily queued, leading to significant system performance degradation. Immediate action is required to identify and resolve bottlenecks. | FLOW: FLOW (Critical): Flow control is persistently active, suggesting severe resource bottlenecks or network saturation. System throughput is significantly hindered, and query execution times are likely to be highly impacted. Immediate investigation is required. | DELAY: DELAY (Critical): High DelayTime indicates severe queuing at the AMP level, likely due to AWT exhaustion, data skew, or system overload. Query performance is heavily impacted. Immediate analysis is recommended."
Venus,Average,Critical,Average,"AWT: AWT (Average): AWT utilization is within optimal operating range. System resources are being efficiently managed, and there is no significant contention. Query performance remains stable. | FLOW: FLOW (Critical): Flow control is persistently active, suggesting severe resource bottlenecks or network saturation. System throughput is significantly hindered, and query execution times are likely to be highly impacted. Immediate investigation is required. | DELAY: DELAY (Average): DelayTime is within normal limits, indicating AMP-level task execution is proceeding without significant waiting."
Saton,Critical,Degraded,Critical,"AWT: AWT (Critical): AWT utilization is at or near maximum capacity. Tasks are heavily queued, leading to significant system performance degradation. Immediate action is required to identify and resolve bottlenecks. | FLOW: FLOW (Degraded): Flow control is intermittently active, indicating increasing resource contention or network congestion. Some delays in data processing and inter-node communication may be observed. | DELAY: DELAY (Critical): High DelayTime indicates severe queuing at the AMP level, likely due to AWT exhaustion, data skew, or system overload. Query performance is heavily impacted. Immediate analysis is recommended."
Neptune,Critical,Degraded,Critical,"AWT: AWT (Critical): AWT utilization is at or near maximum capacity. Tasks are heavily queued, leading to significant system performance degradation. Immediate action is required to identify and resolve bottlenecks. | FLOW: FLOW (Degraded): Flow control is intermittently active, indicating increasing resource contention or network congestion. Some delays in data processing and inter-node communication may be observed. | DELAY: DELAY (Critical): High DelayTime indicates severe queuing at the AMP level, likely due to AWT exhaustion, data skew, or system overload. Query performance is heavily impacted. Immediate analysis is recommended."
Sky,Critical,Critical,Average,"AWT: AWT (Critical): AWT utilization is at or near maximum capacity. Tasks are heavily queued, leading to significant system performance degradation. Immediate action is required to identify and resolve bottlenecks. | FLOW: FLOW (Critical): Flow control is persistently active, suggesting severe resource bottlenecks or network saturation. System throughput is significantly hindered, and query execution times are likely to be highly impacted. Immediate investigation is required. | DELAY: DELAY (Average): DelayTime is within normal limits, indicating AMP-level task execution is proceeding without significant waiting."
